iter	MultiClass
0	4.480014969
1	4.473186144
2	4.472953906
3	4.465397424
4	4.45899557
5	4.454940923
6	4.454717099
7	4.451933126
8	4.447636156
9	4.439829661
10	4.435485933
11	4.429421
12	4.425216858
13	4.417112938
14	4.409437987
15	4.405321922
16	4.398619213
17	4.390691475
18	4.386658278
19	4.378649029
20	4.376515634
21	4.373428514
22	4.366902496
23	4.360318272
24	4.35387547
25	4.346527191
26	4.341397339
27	4.335569754
28	4.331648867
29	4.323436336
30	4.319534724
31	4.315926327
32	4.315742485
33	4.309041207
34	4.302274732
35	4.302096028
36	4.301920564
37	4.301748289
38	4.294687828
39	4.294518988
40	4.29435324
41	4.28929186
42	4.285052657
43	4.279625946
44	4.279467536
45	4.272657635
46	4.266257637
47	4.266103463
48	4.259395001
49	4.252538436
50	4.245099968
51	4.239033584
52	4.231232618
53	4.231082748
54	4.223385158
55	4.216657308
56	4.212507616
57	4.209135664
58	4.202875017
59	4.196916608
60	4.190528088
61	4.183879698
62	4.177028944
63	4.170031812
64	4.162240957
65	4.159815807
66	4.155734699
67	4.150538339
68	4.148064571
69	4.144259588
70	4.140336253
71	4.132603798
72	4.12883962
73	4.122413064
74	4.122282248
75	4.11636651
76	4.11097618
77	4.107679802
78	4.107553877
79	4.103828895
80	4.103706675
81	4.103586794
82	4.096643609
83	4.096525911
84	4.096410475
85	4.096297262
86	4.094973594
87	4.089933767
88	4.083112072
89	4.080377817
90	4.08026993
91	4.075034067
92	4.067796955
93	4.064204474
94	4.059334474
95	4.055118527
96	4.049272866
97	4.044654869
98	4.041085453
99	4.037926531
100	4.037829844
101	4.032186867
102	4.032092453
103	4.028278288
104	4.022143847
105	4.018740333
106	4.018649663
107	4.015244299
108	4.008879257
109	4.008791237
110	4.00290418
111	3.999529431
112	3.993316562
113	3.987196107
114	3.987110377
115	3.980041603
116	3.973933102
117	3.968275271
118	3.964996795
119	3.964914206
120	3.961591344
121	3.955166936
122	3.95011265
123	3.943752943
124	3.940584384
125	3.939526541
126	3.937647918
127	3.932530788
128	3.926599701
129	3.919721135
130	3.916378155
131	3.909570189
132	3.903193092
133	3.895927114
134	3.891077332
135	3.883649548
136	3.878917106
137	3.875644205
138	3.872589025
139	3.867051947
140	3.861200885
141	3.858191281
142	3.852231976
143	3.845806074
144	3.839508958
145	3.831571609
146	3.823561992
147	3.818855429
148	3.816053373
149	3.809585668
150	3.804915156
151	3.79917933
152	3.795367806
153	3.793104458
154	3.790002226
155	3.785282953
156	3.779401953
157	3.779333397
158	3.776205421
159	3.769047816
160	3.764518301
161	3.759141276
162	3.755747884
163	3.749068456
164	3.74408138
165	3.740788183
166	3.737608207
167	3.733252737
168	3.727192412
169	3.7241604
170	3.717658255
171	3.710242168
172	3.704119868
173	3.701904556
174	3.697438146
175	3.690253733
176	3.684123758
177	3.681428749
178	3.678280031
179	3.672116169
180	3.665710517
181	3.66289419
182	3.655007704
183	3.64741108
184	3.640141659
185	3.63703607
186	3.631351534
187	3.624067166
188	3.61883575
189	3.613185966
190	3.608547678
191	3.602711797
192	3.597402515
193	3.591373646
194	3.584637821
195	3.580425938
196	3.572988886
197	3.567013603
198	3.559178004
199	3.551803755
200	3.546131389
201	3.540223134
202	3.533473344
203	3.527374071
204	3.521609915
205	3.515345056
206	3.507098443
207	3.500314904
208	3.493607061
209	3.486254509
210	3.479337389
211	3.470910921
212	3.465257429
213	3.457968793
214	3.450246158
215	3.44265188
216	3.435123217
217	3.427833553
218	3.421136193
219	3.414792448
220	3.407292919
221	3.400111965
222	3.392702365
223	3.387911956
224	3.380897728
225	3.373189294
226	3.364806672
227	3.356880308
228	3.348268809
229	3.340517652
230	3.331953151
231	3.32410338
232	3.316788351
233	3.308578547
234	3.300333568
235	3.292025333
236	3.287459584
237	3.279461285
238	3.271908381
239	3.266065989
240	3.258547678
241	3.250660572
242	3.245588593
243	3.237306782
244	3.228977496
245	3.220332073
246	3.211616675
247	3.203699367
248	3.194680894
249	3.186250711
250	3.179255654
251	3.170486395
252	3.162281728
253	3.154404102
254	3.145814929
255	3.137458958
256	3.128718652
257	3.120290958
258	3.111558228
259	3.10329145
260	3.094392273
261	3.086530154
262	3.078070832
263	3.069610107
264	3.061073644
265	3.052601642
266	3.044280893
267	3.036249888
268	3.027955025
269	3.019687048
270	3.011261988
271	3.003006063
272	2.995054837
273	2.986902411
274	2.978557947
275	2.970131558
276	2.96178311
277	2.953233754
278	2.944576536
279	2.938375606
280	2.929622668
281	2.921141205
282	2.912639293
283	2.90423982
284	2.895848954
285	2.887535819
286	2.879048438
287	2.870570905
288	2.862344285
289	2.85388873
290	2.845328381
291	2.836832841
292	2.828599447
293	2.82017666
294	2.811855878
295	2.803288381
296	2.794792059
297	2.786710268
298	2.778413843
299	2.769741993
300	2.761279146
301	2.752824845
302	2.744489625
303	2.736213921
304	2.727867879
305	2.719310534
306	2.71090942
307	2.702630476
308	2.694360598
309	2.686146439
310	2.678264904
311	2.67046675
312	2.661865312
313	2.654040375
314	2.645923215
315	2.638001882
316	2.629711138
317	2.621739609
318	2.613724039
319	2.605566222
320	2.597331663
321	2.589446499
322	2.581359252
323	2.573388926
324	2.565904899
325	2.557998557
