iter	Passed	Remaining
0	68777	68708784
1	72739	36296782
2	73055	24278914
3	101555	25287435
4	125461	24966796
5	126408	20941685
6	126705	17974077
7	127652	15828895
8	128631	14163715
9	155560	15400536
10	167044	15018802
11	171142	14090692
12	171942	13054415
13	231962	16336819
14	300988	19764907
15	301922	18568208
16	314110	18162978
17	388499	21194804
18	389694	20120519
19	461255	22601522
20	462198	21547234
21	463157	20589440
22	476447	20238663
23	501839	20408133
24	524168	20442560
25	593622	22238023
26	605545	21822050
27	617808	21446773
28	618595	20712271
29	678492	21937923
30	679463	21238700
31	680376	20581390
32	680678	19945950
33	706652	20077237
34	716075	19743212
35	716354	19182377
36	716635	18651879
37	716914	18149267
38	745115	18360400
39	745385	17889241
40	745682	17441701
41	750111	17109676
42	762053	16960119
43	766335	16650381
44	766598	16268916
45	834666	17310266
46	839093	17013966
47	839354	16647206
48	868498	16855953
49	927451	17621582
50	977891	18196448
51	1005914	18338601
52	1066531	19056701
53	1066831	18689310
54	1136744	19531332
55	1164247	19625887
56	1168669	19334302
57	1169519	18994610
58	1181621	18845855
59	1193898	18704412
60	1264608	19466677
61	1293798	19573920
62	1298455	19311949
63	1369694	20031784
64	1438856	20697391
65	1439712	20374114
66	1444069	20109209
67	1448623	19854665
68	1449558	19558531
69	1450504	19270994
70	1455122	19039558
71	1524468	19648711
72	1525417	19370713
73	1576465	19727116
74	1576747	19446551
75	1589602	19326223
76	1600602	19186437
77	1601439	18929837
78	1601708	18673082
79	1602566	18429514
80	1602838	18185289
81	1603106	17946973
82	1673489	18489039
83	1673760	18251963
84	1674023	18020368
85	1674306	17794368
86	1675126	17579204
87	1678512	17395492
88	1747157	17883828
89	1748009	17674320
90	1748283	17463622
91	1752883	17300199
92	1823191	17781019
93	1824127	17581480
94	1828841	17422123
95	1833478	17265253
96	1863737	17350050
97	1868195	17195024
98	1872614	17042680
99	1873618	16862566
100	1874013	16680571
101	1884776	16593425
102	1885061	16416508
103	1888395	16269254
104	1918710	16354724
105	1919600	16189835
106	1919874	16022873
107	1920687	15863455
108	1952198	15957879
109	1952490	15797421
110	1964633	15734765
111	1965460	15583291
112	2029636	15931747
113	2097955	16305160
114	2098251	16147415
115	2160998	16468299
116	2192428	16546275
117	2204498	16477694
118	2205349	16327001
119	2205616	16174519
120	2206432	16028544
121	2268071	16322675
122	2280781	16262154
123	2346122	16574223
